,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,bathsheba,13.22,-59.52,82.4,74,40,14.99,BB,1590628758
371,izhma,65.01,53.91,49.23,91,100,5.68,RU,1590628759
372,kaitangata,-46.28,169.85,48.99,82,39,1.01,NZ,1590628759
373,ecatepec,19.6,-99.05,69.8,40,75,18.34,MX,1590628693
374,cookeville,36.16,-85.5,69.8,93,90,5.32,US,1590628667
375,zalantun,48.0,122.72,72.72,32,0,9.4,CN,1590628760
376,lukow,51.93,22.38,51.01,45,4,7.07,PL,1590628760
377,sarkand,45.41,79.92,55.31,47,0,3.58,KZ,1590628676
378,kalevala,65.2,31.17,48.16,90,100,6.49,RU,1590628760
379,north bend,43.41,-124.22,80.01,68,1,18.34,US,1590628760
380,peruibe,-24.32,-47.0,58.06,79,12,1.81,BR,1590628761
381,luis correia,-2.88,-41.67,78.67,85,0,9.35,BR,1590628761
382,chilliwack,49.17,-121.94,75.0,43,75,5.82,CA,1590628751
